n_0,R_0,c,r,D,R_max,E_b,R_unc,E_h,v_b,E_m,v_d,E_move,z,K,extinction
0.43718593,0.414516212,0.339923742,0.222712817,0.269550751,0.707993322,0.044509597,0.4521907,0.856706715,0.664533351,0.35819254,0.889305941,0.063976624,0.815241282,0.638299633,0
0.879396985,0.461070331,0.873263454,0.932592891,0.305646806,0.782984987,0.132540013,0.161059631,0.47985916,0.822133216,0.897119343,0.013122078,0.397205359,0.832926115,0.826223219,0
0.603015075,0.077118676,0.026307551,0.667668945,0.600349477,0.887466833,0.145502157,0.794566284,0.369283636,0.630150081,0.086592348,0.170999258,0.634119394,0.958412571,0.660895006,0
0.467336683,0.387041364,0.184895873,0.488693321,0.63914974,0.928008662,0.536147706,0.589839831,0.777550363,0.232042609,0.932443565,0.226845228,0.671299727,0.321456535,0.262501112,0
0.798994975,0.484096843,0.107480597,0.604199365,0.241512222,0.661695476,0.737771583,0.743552154,0.444325342,0.975592871,0.819918932,0.077313205,0.147881301,0.311209985,0.685747129,0
0.366834171,0.833698041,0.504196228,0.884816555,0.742504453,0.107183811,0.632862838,0.626778306,0.870949972,0.735968933,0.178721199,0.474792116,0.332187147,0.563774901,0.551511939,0
0.668341709,0.594756799,0.307778677,0.295251003,0.499763317,0.440811645,0.50684125,0.724413751,0.145907314,0.929884469,0.766841056,0.115391801,0.624221498,0.14096919,0.903915264,0
0.326633166,0.15778791,0.973798919,0.632016843,0.864743003,0.69081983,0.202746225,0.827289385,0.256468835,0.484587516,0.145759773,0.008982785,0.323462069,0.242928401,0.700305116,0
0.854271357,0.727522431,0.686277998,0.534692147,0.983944652,0.044272655,0.900019961,0.837634421,0.058030605,0.506082673,0.889893577,0.854637727,0.5430907,0.488020728,0.472531662,0
0.472361809,0.138342638,0.067829982,0.762346156,0.193087441,0.481941291,0.375547346,0.265043852,0.172813342,0.931179497,0.793938013,0.133555485,0.259992995,0.576900476,0.71741208,0
0.542713568,0.666849338,0.535891867,0.955754656,0.58754577,0.074142113,0.050967832,0.390979034,0.574922423,0.556099066,0.195693847,0.180758951,0.916276302,0.885777041,0.678972378,0
