n_0,R_0,c,r,D,R_max,E_b,R_unc,E_h,v_b,E_m,v_d,E_move,z,K,n
0.211055276,0.22172028,0.390753204,0.597282101,0.495280119,0.405053651,0.381566195,0.084948551,0.136272247,0.762596396,0.390895383,0.598524779,0.437871032,0.478596285,0.502638519,377.8942116
0.768844221,0.456957208,0.973728458,0.410858404,0.280771927,0.386244556,0.085663134,0.163367549,0.484112909,0.45405298,0.52883858,0.910304983,0.360493749,0.245585538,0.552812541,375.3632735
0.422110553,0.099786357,0.833001024,0.576094183,0.069696185,0.6529044,0.835887042,0.948488088,0.568255521,0.561450022,0.992470997,0.95314404,0.397954525,0.21430809,0.962739182,370.6247505
0.542713568,0.333025259,0.248379792,0.282226005,0.186428976,0.91601883,0.996835024,0.003481803,0.302878189,0.894649013,0.267545844,0.367842044,0.94605539,0.869257676,0.334000412,69.08982036
0,0.997619657,0.19916819,0.920287062,0.249035325,0.828046054,0.736635176,0.044976872,0.157803755,0.527242461,0.010954569,0.805892993,0.882327734,0.081942293,0.833916222,769.750499
0.417085427,0.023531892,0.410628367,0.696598752,0.093948994,0.47257828,0.907907856,0.774205195,0.002053228,0.362830342,0.827167942,0.841907479,0.086328738,0.543088191,0.875091161,643.1596806
0.060301508,0.812763702,0.612827047,0.191205322,0.446028807,0.613504292,0.654668478,0.399486396,0.046810015,0.590808539,0.614682147,0.757571127,0.125531388,0.224722637,0.498701857,243.9580838
0.768844221,0.494177504,0.722848168,0.512595923,0.983171069,0.963798831,0.535151397,0.317986434,0.025979854,0.890014936,0.392493002,0.09028552,0.340032157,0.110092242,0.842204694,0
0.83919598,0.055612997,0.707114282,0.788327797,0.418947446,0.926497558,0.375172653,0.137526927,0.554805255,0.186503922,0.671842214,0.955235855,0.130303069,0.110212739,0.166592142,225.7145709
0.969849246,0.544505048,0.711149034,0.145169877,0.812101366,0.617117347,0.400526212,0.925557273,0.161111162,0.901474566,0.010263247,0.63038165,0.554247739,0.974966885,0.088825099,122.0538922
0.834170854,0.019993088,0.910580659,0.689182819,0.712232386,0.604635522,0.479053083,0.268492032,0.076107729,0.179169961,0.34341667,0.393069163,0.800237321,0.938953246,0.284247658,567.251497
0.763819095,0.935284133,0.646228234,0.880577475,0.735302125,0.302013433,0.266757688,0.915780353,0.085905018,0.705840067,0.107279984,0.714970399,0.983363098,0.196343804,0.105650911,476.1157685
0.361809045,0.674711766,0.669421201,0.546748293,0.894791725,0.944764266,0.850651178,0.891948709,0.001171485,0.947067415,0.106119576,0.502967295,0.087006931,0.735921023,0.213406101,1011.167665
0.125628141,0.156503464,0.68729014,0.93532227,0.303447437,0.3942866,0.10217155,0.485128771,0.027886734,0.111356242,0.792131142,0.752812388,0.146988291,0.997807995,0.968202057,1247.055888
0.507537688,0.210653219,0.86192959,0.426065271,0.798316553,0.947485201,0.427781225,0.995243955,0.571679153,0.787937878,0.917824017,0.279104871,0.563986075,0.949475129,0.933789155,397.5708583
0.502512563,0.117287314,0.347822235,0.510224706,0.722802692,0.80852958,0.755445378,0.363256718,0.132679594,0.253795455,0.195701109,0.701359443,0.774304594,0.169422962,0.097847021,3.680638723
