n_0,R_0,c,r,D,R_max,E_b,R_unc,E_h,v_b,E_m,v_d,E_move,z,K,n
0.668341709,0.734667203,0.766850847,0.075044874,0.643775647,0.981776987,0.093625468,0.666699887,0.814897611,0.144441704,0.896021409,0.385163183,0.389962702,0.957882519,0.059332517,0
0.24120603,0.146574431,0.494859451,0.779173033,0.106497954,0.334138718,0.993834415,0.869603734,0.039813278,0.038602159,0.694614755,0.846623105,0.830254863,0.429264053,0.708718528,405
0.708542714,0.386326544,0.8564313,0.654993729,0.433771272,0.481357674,0.946781613,0.682373369,0.230361172,0.570275989,0.384258838,0.899297504,0.224674639,0.506722299,0.331376206,575
0.572864322,0.342938857,0.404815569,0.26040593,0.983992327,0.451202257,0.376536182,0.610983509,0.02263489,0.018828668,0.989675241,0.365159666,0.295626091,0.384284962,0.219232476,170
0.346733668,0.56523243,0.602224865,0.423854153,0.1853334,0.024261281,0.764811045,0.703381557,0.342599264,0.879309428,0.375094396,0.238537191,0.144461307,0.300538273,0.309125568,0
0.67839196,0.869174172,0.242308429,0.01647277,0.086797585,0.566519836,0.88007913,0.489115278,0.224536496,0.329722281,0.514901251,0.459932533,0.082296321,0.997196263,0.494152031,0
0.497487437,0.489773347,0.662323714,0.618324744,0.637614669,0.994609693,0.197744655,0.310100361,0.126799923,0.163662466,0.681065344,0.242104534,0.321697594,0.259411737,0.243523633,0
0.43718593,0.611021222,0.386131044,0.81759152,0.003333249,0.034886293,0.150915948,0.988813933,0.920518812,0.352941281,0.347321112,0.759814568,0.887887002,0.438865307,0.379130015,0
0.27638191,0.253887456,0.873424643,0.677955379,0.841318032,0.637470827,0.089973813,0.649708024,0.48505132,0.272835527,0.618657171,0.851821983,0.392964177,0.195725877,0.996295267,882
0.618090452,0.678207045,0.659215706,0.592294283,0.629725441,0.38233819,0.400413316,0.621031844,0.764297386,0.284152286,0.304035441,0.067705455,0.571584232,0.888340262,0.841704698,0
0.683417085,0.606976031,0.098021542,0.884708242,0.692061563,0.683839082,0.077418,0.655553423,0.354140848,0.262173874,0.21093798,0.607500471,0.438850793,0.344623755,0.832520188,0
0.266331658,0.522437296,0.98667262,0.754440706,0.772267184,0.426993583,0.4365619,0.090585296,0.982231536,0.077148193,0.662869893,0.373338337,0.683768379,0.125645002,0.572425857,0
0.326633166,0.448603025,0.800782832,0.780738076,0.485808692,0.262192435,0.130290019,0.926104689,0.579057702,0.231969492,0.789113695,0.944548064,0.261131579,0.553423939,0.6621496,0
0.894472362,0.289578594,0.929382603,0.256280719,0.654422379,0.171876515,0.726782564,0.130386222,0.580230593,0.206729341,0.365733516,0.665750468,0.443916285,0.813725282,0.239548679,0
0.804020101,0.203787413,0.203608638,0.210460156,0.586725226,0.865192644,0.770736264,0.026465231,0.094681116,0.77081706,0.483389858,0.830277464,0.1513877,0.093730918,0.773721235,78
0.211055276,0.338207545,0.960434695,0.132121308,0.470267454,0.534354805,0.480764974,0.238488193,0.952618164,0.709437819,0.643333263,0.542939363,0.41607985,0.034312709,0.543229877,0
0.879396985,0.780746252,0.477558696,0.008559673,0.994640437,0.40718647,0.718595555,0.183632946,0.620596593,0.091060456,0.794211286,0.91153787,0.607519771,0.591281839,0.618404244,0
0.582914573,0.921459884,0.585768234,0.241959253,0.032821595,0.159660953,0.594973396,0.955673859,0.782651525,0.102477646,0.249303925,0.790170275,0.488820397,0.372742996,0.282839796,0
0.793969849,0.695805753,0.12709146,0.286192096,0.270294355,0.394272807,0.310856389,0.811014866,0.263355304,0.740316874,0.299910326,0.270451842,0.218563802,0.115874676,0.972627652,0
0.48241206,0.114957211,0.085251023,0.178775751,0.50571304,0.279604299,0.100148358,0.20050147,0.653353592,0.581403436,0.189683907,0.294347894,0.354822417,0.841080773,0.808555624,0
0.944723618,0.43658422,0.013685034,0.947173087,0.743280661,0.213852353,0.291991101,0.790471637,0.880488346,0.964293588,0.565147051,0.927219385,0.363808943,0.082375081,0.060512906,0
0.40201005,0.57754705,0.049527683,0.362472681,0.331448938,0.889883987,0.85686422,0.254016548,0.067781837,0.979224551,0.900310823,0.953634648,0.301099524,0.131520025,0.369571464,0
