"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"25",19127.0818828257,66947.7711535969,133595.038662619,162127.596162977,161408.865899565,148159.347142949,130375.957293842,111968.951323483,106729.711142257,107996.595360611,106213.310737414,107152.561313835,106548.662753925,109681.108678235,107102.734644046,108581.286651575,106328.798440271,107037.983483324,107442.007635218,108313.771266276,107559.682587777,108631.435348224,105731.825840732,107783.763194115,109366.149403291,106869.012181299,107867.512562565,107424.371359754,106840.271631195,110554.671723565,108119.962963503,107414.494496696,108547.464242923,106224.431469521,109216.858456657,107484.302662163,109071.736222364,105952.551934562,107861.221776224,107989.923898997,108881.468583769,107953.579758425,108507.804094482,108398.945023352,107747.874677072,109132.621418737,108082.552498872,108833.385750623,107873.251157202,106722.020404042
"26",21110.5476268424,21917.2247347992,22065.9578954549,22092.40328265,22097.074678276,22097.8988911445,22098.0442840342,22098.06993072,22098.0744546572,22098.0752526544,22098.0753934166,22098.0754182464,22098.0754226262,22098.0754233987,22098.0754235349,22097.2482331149,22097.9295073239,22098.0496846208,22098.0708833551,22098.0746226967,22098.0752822957,22094.658438594,22097.0449914036,22094.9463128195,22097.5234005138,22097.9780478022,22098.0582469657,22098.072393707,22098.0748891145,22098.0753292902,22098.0754069349,22098.0754206309,22098.0754230468,22098.0754234729,22098.0754235481,22098.0754235613,22098.0754235625,22098.0754235625,22098.0754235625,22098.0754235625,22098.0754235625,22098.0754235625,22098.0754235625,22098.0754235625,22098.0754235625,22098.0754235625,22098.0754235625,22098.0754235625,22098.0754235625,22098.0754235625
"27",13776.7294635022,18017.5001257069,18480.3272031406,18514.4130877596,18487.9463966109,18452.8938734285,18442.4306132154,18496.6081522392,18517.9851057947,18523.4600052777,18546.9270037337,18499.3484469433,18508.9450391993,18493.8363152458,18505.506361725,18542.3065851987,18501.1922407433,18476.9010604305,18485.1550837873,18492.8176792,18485.5973404666,18460.0987232224,18499.5610552461,18533.7542198491,18496.2908113785,18523.8129445978,18502.9127016944,18502.2616348806,18490.3589303328,18448.1367929574,18455.7854400364,18475.5190788812,18520.7281332034,18523.794446518,18483.6474492979,18498.3022964192,18496.9890602853,18499.3542964228,18528.5894045319,18513.0431094033,18464.0029667956,18525.9921349353,18493.8916836699,18505.1334362757,18473.863265027,18516.3977306447,18494.3150882887,18498.0218617251,18493.0911546783,18505.1779365673
"28",66723.3301936075,66647.1710583388,66590.2314280892,66190.8548778666,66259.7112817562,65968.1227631145,65869.3254674419,65740.6440600798,65782.704442919,65824.2635466879,65675.9398250138,65819.9791541216,65524.0901807287,65333.1895008141,65544.944635444,65446.9056097531,65559.1920146294,65240.4352299638,65681.2649932256,65630.6082214155,65864.8534865106,65728.7352300864,65629.5786901292,65620.8642425571,65462.7802792146,65351.7514760777,65517.2318142104,65633.5766866653,65388.1860639516,65144.2872764299,65146.4092594652,65459.884165052,65416.2127494661,65520.1079039539,65187.4812264865,65775.4269515544,65725.2649750073,65447.6084170508,65524.7798205807,65291.5255448388,65430.1461200857,65314.4539616738,65390.7770283894,65143.2975404441,65305.1498622453,65469.8543549363,65180.1940709154,65423.4783842154,65382.2285145826,65299.7903212633
"29",71321.0342721126,81470.7781215192,86920.2811310875,89287.5467394685,90270.6703397274,90894.672593645,91417.6680165316,91566.1284073178,91489.397858715,91588.8077578806,91580.3059441232,91531.9823173972,91670.4696515009,91573.4473815909,91516.5603131298,91591.8175980253,91568.9881897397,91499.4240005383,91261.177371591,91387.9318531921,91335.8091457565,91241.0857117018,91030.1684901491,91406.7371982945,91697.1852824486,91779.5215820859,91815.8288367769,91672.0309145513,91659.9603615403,91638.2942795271,91528.7972424272,91571.2278351687,91761.1882506888,91840.1275644352,91854.6472687858,91959.8805622445,92004.9497583356,92024.2302731687,92032.4751382997,92036.000260031,92037.507328156,92038.1516132089,92038.4270471241,92038.5447953277,92038.5951326494,91939.2758020687,91996.1309264645,92020.4584448763,92030.8623589973,92035.3107388884
"30",37102.7614230074,43630.2755550607,50497.6321859166,57474.668706702,64262.8777327154,70432.2182884537,75937.8574270347,80363.238587477,84026.5533672025,86929.3797141676,89416.8611499872,91325.9799555831,92318.2390452639,93028.5995112601,93510.3926655944,93264.8688264599,93347.9687776249,93320.0690065997,92866.4576019685,91711.167025355,91076.5711757822,90577.1280629265,90359.6300946944,90317.9158486318,90280.621884708,89810.7267790433,89752.414836201,89312.4055252723,89616.5338802599,89671.9574345436,89907.6586110299,89971.7583758143,89660.7569956894,89824.6163136508,89903.8936825273,89585.2158463115,89418.9171036649,89314.3226115532,89440.8448225571,88955.0875510422,88607.2429386349,88860.5276104429,89003.6392235426,88865.3076520917,88766.3815936365,88484.1012991364,88557.5063551689,88629.9222327309,88521.161809482,88427.4076463753
"31",98834.0089132817,132276.261349697,131046.793520309,126963.395373366,125556.479884435,126017.609155173,125214.153722199,125578.264278919,124874.59070249,125154.489387291,125304.904946002,125069.541593598,125977.692171506,125202.306405121,125618.692275881,125342.936097951,125544.028975789,125339.302571625,125667.658296014,125338.565943218,126135.721247622,125366.734521602,125502.230182599,125290.701345011,124833.965449973,124987.871515266,125117.180614286,125614.84297986,125601.84640872,125440.586271354,125724.478339189,125838.913712562,126111.803083709,125617.625985738,126364.156464276,125635.947855977,125379.111771261,125462.094937781,125276.499690416,125112.571968025,125101.368229314,125968.655316669,126028.134397942,125723.99419949,125592.166206652,126287.755475465,126381.913449692,126257.138143025,125991.616712393,126173.303305957
"32",72489.7203015059,113806.873249758,146391.757146877,161463.748364321,164653.444747361,160483.342342836,153270.476946803,149194.435755919,148148.505256685,146775.285943794,145555.599908089,145866.983140503,146354.582746869,146320.753095129,146681.629879035,146853.966840948,146076.228748058,145716.050113502,145923.636075708,146901.818250664,147866.551188802,147165.112379902,146885.110067835,147018.325480474,147627.536371394,147020.285198255,147028.602867314,147466.313493652,146518.238352438,146841.817771306,147401.080311616,147719.320964511,148472.278973728,148024.86164778,147571.752778945,148444.385520232,147784.481007255,149084.613799413,148484.450270137,148346.306577542,148204.35680847,147497.281836219,147087.88056632,147279.99873308,147904.22613815,147791.200601395,148132.943067103,148275.62729348,147831.787462696,148224.205468028
"33",125451.447091898,136165.362962806,121456.708659792,98668.984905982,90937.0486172852,87301.3949179,86638.5032624059,85792.1313796503,85672.7248272839,85361.4286426117,85800.5220455529,85493.7631079634,85610.5451373065,86100.3250111058,85858.1257074485,85864.1404353627,85927.4435122956,85603.8875791796,85781.3988479065,85539.8903867156,85037.3578857342,85033.8451361319,84975.4827844167,85218.8915948976,85591.9541037357,85519.598520666,86040.4994185727,85830.1369157643,86232.5627349038,86132.1675363109,85819.330539147,85017.9139518726,84963.4396872565,85567.0890748248,85746.4281201735,85705.876101432,85842.5632214223,85958.770769901,86044.6129535044,85833.2459818734,85731.7609596963,85812.3144714674,86003.2704037397,85704.8316679235,85848.0083075166,85991.8340757314,86382.9886033702,85876.4389976663,85361.8377630788,85613.3392831681
"34",24726.8715409874,25721.6771386976,25828.9747392157,25830.1903465349,25827.7470644764,25826.6104859323,25831.7158222128,25812.2135210819,25809.1218707792,25841.1057474309,25819.0998354659,25824.4264691046,25834.3103281608,25832.7499955253,25817.8646025715,25814.891346602,25834.9426849622,25826.1205836392,25815.101187148,25818.2134018814,25818.1047655812,25804.606826857,25836.7570709436,25829.9571297226,25778.4677019929,25801.7359212376,25823.8064210515,25834.1260354857,25814.1344498823,25790.7478302165,25820.0416891782,25806.1869771853,25819.4117793621,25822.6516129899,25834.3481671361,25809.4984747513,25804.8963176165,25795.47067836,25829.2501374955,25812.0983415394,25810.4213268035,25849.9692167781,25827.8518853948,25825.1600306823,25832.8176544591,25823.7459915795,25840.8930450472,25830.1812361097,25840.2196672594,25836.7472153426
