"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"22",3193790.6162795,1578151.65188014,774359.596808409,360213.3199544,525948.518433656,235773.644789665,226059.050673772,100978.834892093,172525.618976687,70997.6072916353,160499.259226037,315030.765563149,153384.256348685,93251.9476669666,327736.836386552,542400.772078346,588957.557051173,429473.222846312,209104.655296632,158369.968566647,93733.4713838229,257878.72270864,303468.768480467,304890.520173745,595681.650442537,426208.331512496,173544.017433501,101538.971798593,475022.529861496,687189.652597002,685117.529706659,287705.061090313,341249.503410217,-1589.56226613546,0,0,0,0,0,97152.7486874042,85931.0638746928,0,0,0,0,0,0,0,0,0
"23",-99130.3522499068,64322.1987744106,50089.8195236125,61018.6628987357,-4761.02609439049,59804.066287325,164783.343240625,102956.722471743,74603.154007458,73456.7123215479,87039.8858119549,210183.565397489,172328.770800781,200377.388181647,463105.210166758,383045.726467244,360234.137292489,358742.01460336,195550.27804169,246047.023529904,280643.433818463,289974.79355196,596393.92719154,435511.850752717,502191.122063471,414869.932033443,214855.93153396,258528.67284258,320895.36968888,130504.953119464,318884.995650739,355265.542189314,474657.04999004,323807.935437393,275360.330074514,233020.171617117,321982.950747287,247324.353939628,263011.614896809,310289.204581623,592550.380726266,365713.163967539,369337.602415076,263130.670277888,242318.542979772,264392.453632211,256793.692186266,302108.204200583,242466.515203122,216244.947517516
"24",48149906.914637,51294314.2142318,47252244.7498018,49187201.2980267,42562222.2240276,40838055.6629136,37850761.2451258,37979000.3927621,40466448.7699898,38157852.1027147,37873986.3476731,39428245.3900745,47962133.0329269,41342705.310953,43106820.7197787,37828064.2061446,42738926.5287538,39285913.6638753,43060638.4368216,44897328.1555829,36215601.4617986,37410849.4306371,41793042.1702497,39304434.2217672,38531178.1408183,34579024.4678862,37756129.517421,37148738.2658517,38593208.1894265,42346391.5963385,38600057.3453358,41374258.9199086,43530029.2657301,33590892.9556029,39873021.4759442,41800308.6799216,39854433.1643862,38665551.1744299,41169651.939895,39097537.2852143,39220449.9534467,44890196.0873035,49270600.0772066,46417622.9871114,36411768.3548163,42100364.173525,52767920.4850067,46974399.055512,39839616.1725603,39020105.9024689
"25",-29917.6456628699,-43594.2663790463,1857948.80979734,12566783.4753643,29726644.8195602,50314885.7160452,63692036.6733369,64427571.5734637,50811850.0915846,47899755.7138446,48463190.3764545,48100653.6169693,47513123.5056268,47541422.7429318,50090304.848617,47976631.4095844,49856156.4247853,48499559.1634565,47927257.4190957,48462038.9319808,48620190.9839286,48994818.2519637,49449272.502197,46042059.1301631,50268724.4106917,50062005.8424136,48088376.4979511,48858488.0715193,47065283.9385766,47855902.6367357,48815969.06475,48574764.226889,48687342.2120968,47864400.7079142,47838406.5165945,48610124.879616,48423500.1299622,50820955.1681417,47087792.4639183,49167105.5359342,48584624.1548701,49592737.9867651,48294024.6866962,48312791.5097842,48922964.3581383,48161797.6579383,49137970.2773568,47758062.9465994,49681756.2202339,49174087.9447079
"26",-8124.33707082049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1170.80892772372,0,0,0,0,0,2810.70319778419,-752.701982354099,1395.66813298384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",-2570759.42510751,-1243319.24136483,-1474226.23065059,-1333663.69223018,-1478920.50199863,-2190018.70310995,-2275283.06819305,-1452483.28731725,-1205767.11100601,-1044852.88415999,-614208.577102601,-1799094.96747512,-1356279.93036314,-1956666.35574563,-1451496.6170757,-1260182.52159103,-1614561.09603455,-1934043.42248824,-1429844.96936774,-2088361.8575948,-1413285.52641941,-2366525.52726543,-1535148.62187604,-1312328.16534646,-1425541.61040993,-1216256.46416442,-1678043.62178128,-1357672.95523448,-1176498.59745437,-3029780.36616675,-2846355.86282262,-1810836.03766876,-1152805.33541467,-1198364.53026833,-1565863.48896036,-1784034.62904359,-1836256.30910248,-1558003.74597106,-1333160.7996041,-2089094.99574999,-1760402.38433459,-1341563.49871634,-1960299.37132154,-1611223.78885315,-1788020.27945284,-1169154.80667651,-1879542.85044792,-952892.785788913,-1548449.208917,-1380413.64912621
"28",1534622.60883304,2587743.76198489,3369986.81202017,4475910.78150671,4090065.95372728,5552498.29169303,5672096.22613227,5572462.22321939,6493425.58711126,5688928.88328726,5704482.2654792,6094927.06615563,6958225.85267595,6976941.24935885,7407155.12049789,7499434.31744195,7678736.93594555,7878804.11342881,6392021.55705429,6875201.53105585,6728382.05037361,6310513.24572572,5954072.32873268,6947142.67228371,7349429.99718472,7983203.77874731,6818886.34411621,6751675.87117322,8042797.53432422,7654630.88075623,7862174.91148961,6576303.93634209,6474710.29984571,7558147.32027697,8041394.44901,6398387.55176162,7279499.52664394,6881246.10490139,8032686.36395133,7977890.07653775,7685201.58586512,8081356.1238493,7506024.85943686,8526442.49419307,7759984.29625647,7326588.54894875,8256717.43546014,7072755.82351445,6910369.76560416,7727085.85366365
"29",-2546804.72826025,-540134.144919586,-53197.8725267263,-268006.017183044,-484102.912389772,-199244.438593666,8019.37748235739,132147.302221235,85041.5443067015,165570.098367564,-83671.789851636,-91281.7948853446,-71366.5730572363,-21472.0209717253,-188606.120820028,-86301.2876089201,-42398.0419518509,103782.002081935,-423695.548697967,-419.888090206325,-43014.8176152136,-75665.6250056898,-473023.978931818,86016.1152040653,-66712.5253512944,-220120.219812697,-175020.304776596,-98788.841697924,-115802.968889187,-188868.473221097,-537693.044021487,-215085.8620363,-31974.3949656095,-98241.3262106386,-93194.8395244375,0,0,0,0,0,0,0,0,0,0,-316793.403480061,0,0,0,0
"30",242230.625764504,189046.460054905,259195.476111435,245370.191559773,450113.56986766,1164865.77468492,1684561.35331641,2926357.26496211,3503945.60846264,4260009.03400788,4269665.98168628,4741822.41145507,6292028.66475669,6377191.57045644,6559492.81852554,8117143.788622,7334130.44827192,7674581.22863304,8481655.40692691,10406847.2314456,9605998.97858289,9626009.4917986,9128415.63871992,8705986.30679907,8703331.00967375,9945292.56022773,9081751.39050834,9900190.20618874,8379156.38376518,8915870.26060575,8287953.6133343,8814690.71437047,9454146.39480863,8455571.66043909,9067053.08755584,9702999.30819159,9456369.04083278,9270477.21163769,8769131.97078508,10132447.7396103,9880760.84450011,8676776.15720198,8995380.5212171,9490777.31761102,9211950.00234364,9870087.77565468,9226079.00038082,8964581.06629961,9577372.56059523,9642541.58081933
"31",5190795.66824574,39439982.3997121,76264895.6390655,99640398.116521,103853695.008514,98864348.6605629,102627576.818754,101340026.696258,104947784.649027,101805989.429074,103118140.761749,103707306.582972,99373994.2614004,103708620.800043,101263666.217218,102181090.053965,100444724.413878,101814962.054113,100384527.638074,103577075.610683,98249472.2289924,103346555.539083,102641263.872772,101753165.81177,104261951.689955,102957252.594393,101763271.641598,99576290.0860677,101305456.344168,102826817.44705,100484858.018363,99245554.4015971,98727057.2380512,103243221.74559,98130907.6957047,103003394.494908,102223693.494218,99733733.4846293,102804519.88112,102933432.166532,102266761.241214,99202473.2471947,99405158.1630713,100894253.203981,99870555.981314,97414566.2084054,95980625.769115,98554694.0058672,99371808.4273928,98162345.1268021
